School Year,County,IRN,District,Homeschool Students
2017-2018 School Year,Lawrence,047944,Rock Hill Local,<10
2017-2018 School Year,Cuyahoga,044701,Rocky River City,11
2017-2018 School Year,Guernsey,047308,Rolling Hills Local,38
2017-2018 School Year,Portage,049213,Rootstown Local,24
2017-2018 School Year,Butler,046144,Ross Local,48
2017-2018 School Year,Wood,045609,Rossford Exempted Village,14
2017-2018 School Year,Shelby,049817,Russia Local,16
2017-2018 School Year,Columbiana,044735,Salem City,32
2017-2018 School Year,Erie,044743,Sandusky City,30
2017-2018 School Year,Stark,049940,Sandy Valley Local,13
2017-2018 School Year,Pike,049130,Scioto Valley Local,29
2017-2018 School Year,Mahoning,048355,Sebring Local,<10
2017-2018 School Year,Seneca,049684,Seneca East Local,<10
2017-2018 School Year,Belmont,046003,Shadyside Local,<10
2017-2018 School Year,Cuyahoga,044750,Shaker Heights City,12
2017-2018 School Year,Allen,045799,Shawnee Local,42
2017-2018 School Year,Lorain,044768,Sheffield-Sheffield Lake City,21
2017-2018 School Year,Richland,044776,Shelby City,32
2017-2018 School Year,Shelby,044784,Sidney City,67
2017-2018 School Year,Cuyahoga,046607,Solon City,35
2017-2018 School Year,Huron,047738,South Central Local,44
2017-2018 School Year,Cuyahoga,044792,South Euclid-Lyndhurst City,98
2017-2018 School Year,Lawrence,047951,South Point Local,12
